Case,Combination_id,Event_date,Preloaded_cutoff,Ductile_lead_cutoff_days,Onset_fraction,Nearest_observation_date,Pi_at_event,Pi_final,Pct_of_max,First_crossing_date,Lead_days,Label,Baseline_label,Retains_baseline_label
Terra-Luna,33,2022-05-09,0.75,350,0.05,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-08,243,Pre-loaded,Pre-loaded,Yes
Terra-Luna,34,2022-05-09,0.75,350,0.1,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-21,230,Pre-loaded,Pre-loaded,Yes
Terra-Luna,35,2022-05-09,0.75,350,0.15,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-10-05,216,Pre-loaded,Pre-loaded,Yes
Terra-Luna,36,2022-05-09,0.75,350,0.2,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-11-04,186,Pre-loaded,Pre-loaded,Yes
Terra-Luna,37,2022-05-09,0.75,400,0.05,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-08,243,Pre-loaded,Pre-loaded,Yes
Terra-Luna,38,2022-05-09,0.75,400,0.1,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-21,230,Pre-loaded,Pre-loaded,Yes
Terra-Luna,39,2022-05-09,0.75,400,0.15,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-10-05,216,Pre-loaded,Pre-loaded,Yes
Terra-Luna,40,2022-05-09,0.75,400,0.2,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-11-04,186,Pre-loaded,Pre-loaded,Yes
Terra-Luna,41,2022-05-09,0.8,200,0.05,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-08,243,Pre-loaded,Pre-loaded,Yes
Terra-Luna,42,2022-05-09,0.8,200,0.1,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-21,230,Pre-loaded,Pre-loaded,Yes
Terra-Luna,43,2022-05-09,0.8,200,0.15,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-10-05,216,Pre-loaded,Pre-loaded,Yes
Terra-Luna,44,2022-05-09,0.8,200,0.2,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-11-04,186,Pre-loaded,Pre-loaded,Yes
Terra-Luna,45,2022-05-09,0.8,250,0.05,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-08,243,Pre-loaded,Pre-loaded,Yes
